"zipcode","race_eth3","n","pct","lbl"
"Elm Creek","Hispanic",136,0.490974729241877,"49.1%"
"Elm Creek","Non-Hispanic White",99,0.357400722021661,"35.7%"
"Elm Creek","Non-Hispanic Other",42,0.151624548736462,"15.2%"
"Jefferson Heights","Hispanic",89,0.481081081081081,"48.1%"
"Jefferson Heights","Non-Hispanic White",73,0.394594594594595,"39.5%"
"Jefferson Heights","Non-Hispanic Other",23,0.124324324324324,"12.4%"
